package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
RVsharing,RVsharing,Computes estimates of the probability of related individuals sharing a rare variant.,"R (≥ 2.15.2), utils, methods, kinship2",,,,1.1.0,GPL-2,
rvTDT,population control weighted rare-variants TDT,Used to compute population controls weighted rare variants transmission distortion test,CompQuadForm (≥ 1.4.1),,,,1.0,GPL-3,
RVtests,Rare Variant Tests,Use multiple regression methods to test rare variants association with disease traits.,"R (≥ 2.12.1), glmnet, spls, pls",,,,1.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Rwave,Time-Frequency analysis of 1-D signals,"Rwave is a library of R functions which provide an environment for the Time-Frequency analysis of 1-D signals (and especially for the wavelet and Gabor transforms of noisy signals). It was originally written for Splus by Rene Carmona, Bruno Torresani, and Wen L. Hwang, first at the University of California at Irvine and then at Princeton University.  Credit should also be given to Andrea Wang whose functions on the dyadic wavelet transform are included. Rwave is based on the book: ""Practical Time-Frequency Analysis: Gabor and Wavelet Transforms with an Implementation in S"", by Rene Carmona, Wen L. Hwang and Bruno Torresani, Academic Press, 1998.",R (≥ 2.14),,,,2.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
rWBclimate,A package for accessing World Bank climate data,"This package will download model predictions from 15 different global circulation models in 20 year intervals from the world bank.  Users can also access historical data, and create maps at 2 different spatial scales.",,knitr,"ggplot2, httr, plyr, rgdal, jsonlite, reshape2, sp",,0.1.3,MIT + file LICENSE,
RWeather,"R wrapper around the Yahoo! Weather, Google Weather and NOAA APIs",This package provides programmatic access to Yahoo! Weather and NOAA APIs,"R (≥ 2.11.0), XML",,,WebTechnologies,0.4,GPL-2,
RWebLogo,plotting custom sequence logos,"RWebLogo is a wrapper for the WebLogo python package that allows generating of customised sequence logos. Sequence logos are graphical representations of the sequence conservation of nucleotides (in a strand of DNA/RNA) or amino acids (in protein sequences). Each logo consists of stacks of symbols, one stack for each position in the sequence. The overall height of the stack indicates the sequence conservation at that position, while the height of symbols within the stack indicates the relative frequency of each amino or nucleic acid at that position. In general, a sequence logo provides a richer and more precise description of, for example, a binding site, than would a consensus sequence.",,,"raster, jpeg, findpython",,1.0.1,BSD_3_clause + file LICENSE,
RWeka,R/Weka interface,"An R interface to Weka (Version 3.7.11). Weka is a collection of machine learning algorithms for data mining tasks written in Java, containing tools for data pre-processing, classification, regression, clustering, association rules, and visualization.  Package RWeka contains the interface code, the Weka jar is in a separate package RWekajars.  For more information on Weka see <http://www.cs.waikato.ac.nz/~ml/weka/>.",R (≥ 2.6.0),"partykit (≥ 0.8.0), mlbench, e1071","RWekajars (≥ 3.7.11), rJava (≥ 0.6-3), graphics, stats, utils, grid","MachineLearning, NaturalLanguageProcessing",0.4-23,GPL-2,
RWekajars,R/Weka interface jars,External jars required for package RWeka.,,,rJava (≥ 0.6-3),,3.7.11-1,GPL-2,
RWiener,Wiener process distribution functions,"This package provides Wiener process distribution functions, namely the Wiener first passage time density, CDF, quantile and random functions.",R (≥ 2.15.0),MASS,,,1.2-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
RWinEdt,R Interface to WinEdt,A plug in for using WinEdt as an editor for R,"R (≥ 2.11.0), utils",,,,2.0-2,GPL-2,
Rwinsteps,Running Winsteps in R,"The Rwinsteps package facilitates communication between R and the Rasch modeling software Winsteps. The package currently includes functions for reading and writing command files, sending them to Winsteps, reading and writing data according to command file specifications, reading output into R, and plotting various results.",R (≥ 2.12.0),,,,1.0-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)] (see file LICENSE),
rwm,R Workspace Management,"R workspace management functions. The principal functions are loadws, attachws and savews. This packages provides a convenient method of accessing with R workspaces that is OS independent. In simple situations, it may replace the need for R packages.",R (≥ 2.0.0),,,,1.53,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
rworldmap,"Mapping global data, vector and raster",Enables mapping of country level and gridded user datasets.,"R (≥ 2.10.0), sp","rgdal, rworldxtra, RColorBrewer, classInt, cshapes, ncdf, raster","maptools, fields",Spatial,1.3-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
rworldxtra,Country boundaries at high resolution,"High resolution vector country boundaries derived from Natural Earth data, can be plotted in rworldmap.","R (≥ 2.10.0), sp",rworldmap,,Spatial,1.01,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
rwt,Rice Wavelet Toolbox wrapper,Provides a set of functions for performing digital signal processing.,"R (≥ 2.7), matlab",,,"Finance, TimeSeries",0.9.4,BSD_3_clause + file LICENSE,
RxCEcolInf,R x C Ecological Inference With Optional Incorporation of Survey Information,Fits the R x C inference model described in Greiner and Quinn (2009).  Allows incorporation of survey results.,"MASS, MCMCpack, mvtnorm, lattice",,,Bayesian,0.1-3,GPL-2 | GPL-3 [expanded from: GPL],
RXKCD,Get XKCD comic from R,This package allows the visualization of your favorite XKCD comic strip directly from R. XKCD web comic content is provided under the Creative Commons Attribution-NonCommercial 2.5 License.,"R (≥ 2.11.0), RJSONIO, png, jpeg",,"utils, plyr",,1.7-5,GPL-2,
RXMCDA,An XMCDA parser for R,The RXMCDA package for the R statistical software allows you to read many XMCDA tags and transform them into R variables which are then usable in your MCDA algorithms written in R. The library also allows to write certain R variables into XML files according to the XMCDA standard.,XML,,kappalab,,1.5.0,CeCILL-2,
RXshrink,Maximum Likelihood Shrinkage via Generalized Ridge or Least Angle Regression,"Identify and display TRACEs for a specified shrinkage path and determine the extent of shrinkage most likely, under normal distribution theory, to produce an optimal reduction in MSE Risk in estimates of regression (beta) coefficients.","R (≥ 1.8.0), lars",,,MachineLearning,1.0-8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Ryacas,R interface to the yacas computer algebra system,An interface to the yacas computer algebra system.,XML,,,NumericalMathematics,0.2-11,GPL-2,
RYoudaoTranslate,R package provide functions to translate English words into Chinese,"You can use this package to translate thousands of words. The Youdao translation open API is applied in this package. But, it just translates less than 1000 English words into Chinese.","RCurl, rjson",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ryouready,Companion to the 'R your ready?' book,"Data, functions etc. from the 'R you ready?' book","stringr, car",,,,0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
rysgran,"Grain size analysis, textural classifications and distribution of unconsolidated sediments","This package is a port to R of the SysGran program, written in Delphi by Camargo (2006). It contains functions for the analysis of grain size samples (in logarithmic (phi) and geometric (micrometers) scale) based on various methods, like Folk & Ward (1957) and Methods of Moments (Tanner, 1995), among others; textural classifications and distribution of unconsolidated sediments are shown in histograms, bivariated plots and ternary diagrams of Shepard (1954) and Pejrup (1988). English and Portuguese languages are supported in outputs","R (≥ 2.10.0) , soiltexture , lattice",plotrix,,,2.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2.0)],
Rz,GUI Tool for Data Management like SPSS or Stata,"R is very powerful but it lacks some of the functionalities found in Stata or SPSS to manage survey data. The 'memisc' package provides these (variable labels, value labels, definable missing values and so on), but to efficiently work these functions need a graphical interface to allow the user to get an overview of the data. This package provides such a graphical interface, similar in fashion to SPSS's Variable View and data managing system. It uses the 'memisc' package as its backend. Additionally, 'Rz' has a powerful plot assistant interface based on 'ggplot2'.","R (≥ 2.14), methods, grid, foreign, memisc, psych, ggplot2 (≥ 0.9.2)","quantreg, Hmisc, cairoDevice, vcd","RGtk2 (≥ 2.20), formatR",,0.9-1,GPL (≥ 3) + file LICENSE,
rzmq,R binding for zmq (http://www.zeromq.org/),R binding for zmq,,,,,0.6.8,GPL-3,
s20x,Stats 20x,Stats 20x functions.,,,,Distributions,3.1-10,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
s4vd,Biclustering via sparse singular value decomposition incorporating stability selection,The main function s4vd performs a biclustering via sparse singular value decomposition with a nested stability selection. The results is an biclust object and thus all methods of the biclust package can be applied.,"biclust, methods",isa2,,,1.0,GPL-2,
sac,Semiparametric Analysis of Changepoint,Semiparametric empirical likelihood ratio based test of changepoint with one-change or epidemic alternatives with data-based model diagnostic,R (≥ 1.4),,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sae,Small Area Estimation,Functions for small area estimation.,"nlme, MASS",,,,1.0-2,GPL-2,
saemix,Stochastic Approximation Expectation Maximization (SAEM) algorithm,"The SAEMIX package implements the Stochastic Approximation EM algorithm for parameter estimation in (non)linear mixed effects models. The SAEM algorithm: - computes the maximum likelihood estimator of the population parameters, without any approximation of the model (linearisation, quadrature approximation,...), using the Stochastic Approximation Expectation Maximization (SAEM) algorithm, - provides standard errors for the maximum likelihood estimator - estimates the conditional modes, the conditional means and the conditional standard deviations of the individual parameters, using the Hastings-Metropolis algorithm. Several applications of SAEM in agronomy, animal breeding and PKPD analysis have been published by members of the Monolix group (http://group.monolix.org/).",,,"graphics, stats, methods",,1.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SAFD,Statistical Analysis of Fuzzy Data,"The aim of the package is to provide some basic functions for doing statistics with one dimensional Fuzzy Data (in the form of polygonal fuzzy numbers). In particular, the package contains functions for the basic operations on the class of fuzzy numbers (sum, scalar product, mean, Hukuhara difference, quantiles) as well as for calculating (Bertoluzza) distance, sample variance, sample covariance, sample correlation, and the Dempster-Shafer (levelwise) histogram. Moreover a function to simulate fuzzy random variables, bootstrap tests for the equality of means, and a function to do linear regression given trapezoidal fuzzy data is included. Version 0.4 fixes some bugs of version 0.3 and includes an additional function to calculate quantiles of samples of polygonal fuzzy numbers.",R (≥ 2.10.0),,,,0.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
safeBinaryRegression,Safe Binary Regression,Overloads the glm function in the stats package so that a test for the existence of the maximum likelihood estimate is included in the fitting procedure for binary regression models.,"R (≥ 2.9.1), lpSolveAPI (≥ 5.5.0.14)",,,,0.1-3,GPL-2,
SAM,Sparse Additive Modelling,"The package SAM targets at high dimensional predictive modeling (regression and classification) for complex data analysis. SAM is short for sparse additive modeling, and adopts the computationally efficient basis spline technique. We solve the optimization problems by various computational algorithms including the block coordinate descent algorithm, fast iterative soft-thresholding algorithm, and newton method. The computation is further accelerated by warm-start and active-set tricks.","R (≥ 2.14), splines",,,,1.0.5,GPL-2,
SamplerCompare,A framework for comparing the performance of MCMC samplers,This package consists of two components: a framework for running sets of MCMC samplers on sets of distributions with a variety of tuning parameters and plotting functions to visualize the results of those simulations.  See sc-intro.pdf for an introduction.,"R (≥ 2.15.1), mvtnorm","ggplot2 (≥ 0.9.2), synchronicity",,,1.2.5,GPL-2,
sampleSelection,Sample Selection Models,Estimation of Sample Selection Models,"R (≥ 2.10), maxLik (≥ 0.7-3), systemfit (≥ 1.0-0)","VGAM, MASS, mvtnorm, plm",miscTools (≥ 0.6-3),Econometrics,0.7-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
samplesize,Sample size calculation for various t-Tests and Wilcoxon-Test,Computes sample size for Student's t-test and for the Wilcoxon-Mann-Whitney test for categorical data. The t-test function allows paired and unpaired (balanced / unbalanced) designs as well as homogeneous and heterogeneous variances. The Wilcoxon function allows for ties.,,,,ClinicalTrials,0.1-8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Sample.Size,Sample size calculation,"Computes the required sample size using the optimal designs with multiple constraints proposed in Mayo et al.(2010). This optimal method is designed for two-arm, randomized phase II clinical trials, and the required sample size can be optimized either using fixed or flexible randomization allocation ratios.",,,,,1.0,GPL-2,
samplesize4surveys,Sample size calculations for complex surveys,"Computes the required sample size for estimation of totals, means and proportions under complex sampling designs.",TeachingSampling,,,,0.5.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SampleSizeMeans,Sample size calculations for normal means,"A set of R functions for calculating sample size requirements using three different Bayesian criteria in the context of designing an experiment to estimate a normal mean or the difference between two normal means.  Functions for calculation of required sample sizes for the Average Length Criterion, the Average Coverage Criterion and the Worst Outcome Criterion in the context of normal means are provided. Functions for both the fully Bayesian and the mixed Bayesian/likelihood approaches are provided.",,,,Bayesian,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SampleSizeProportions,Calculating sample size requirements when estimating the difference between two binomial proportions,"A set of R functions for calculating sample size requirements using three different Bayesian criteria in the context of designing an experiment to estimate the difference between two binomial proportions. Functions for calculation of required sample sizes for the Average Length Criterion, the Average Coverage Criterion and the Worst Outcome Criterion in the context of binomial observations are provided. In all cases, estimation of the difference between two binomial proportions is considered. Functions for both the fully Bayesian and the mixed Bayesian/likelihood approaches are provided.",,,,Bayesian,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sampling,Survey Sampling,Functions for drawing and calibrating samples.,,,"MASS, lpSolve","OfficialStatistics, SocialSciences",2.6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
samplingbook,Survey Sampling Procedures,Sampling procedures from the book 'Stichproben. Methoden und praktische Umsetzung mit R' by Goeran Kauermann and Helmut Kuechenhoff (2010),"pps, sampling, survey",,,OfficialStatistics,1.2.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
samplingEstimates,Sampling Estimates,Functions to estimate from survey data. This package is a user-friendly wrapper of the samplingVarEst package. It considers that the user is more familiar with practical survey data rather than with research on survey sampling (variance estimation). More functionalities are on the way.,"R (≥ 3.0.0), samplingVarEst",,,,0.1-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SamplingStrata,Optimal stratification of sampling frames for multipurpose sampling surveys,"In the field of stratified sampling design, this package offers an approach for the determination of the best stratification of a sampling frame, the one that ensures the minimum sample cost under the condition to satisfy precision constraints in a multivariate and multidomain case. This approach is based on the use of the genetic algorithm: each solution (i.e. a particular partition in strata of the sampling frame) is considered as an individual in a population; the fitness of all individuals is evaluated applying the Bethel-Chromy algorithm to calculate the sampling size satisfying precision constraints on the target estimates. Functions in the package allows to: (a) analyse the obtained results of the optimisation step; (b) assign the new strata labels to the sampling frame; (c) select a sample from the new frame accordingly to the best allocation. Functions for the execution of the genetic algorithm are a modified version of the functions in the 'genalg' package.",R (≥ 2.15.0),,,OfficialStatistics,1.0-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
samplingVarEst,Sampling Variance Estimation,Functions to calculate some point estimators and estimating their variance under unequal probability sampling. Single and two stage sampling designs are considered. Some approximations for the second order inclusion probabilities are also available (sample and population based).,R (≥ 3.0.0),,,OfficialStatistics,0.9-9,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sampSurf,Sampling Surface Simulation for Areal Sampling Methods,"This package provides the base classes and routines for sampling surface simulation useful in the comparison of different areal sampling methods in forestry, ecology and natural resources.","R (≥ 2.13.1), methods (≥ 2.13.1), sp (≥ 0.9-84), raster (≥ 1.9-5), rasterVis (≥ 0.10-3), boot (≥ 1.3-3)","rgl, rgeos (≥ 0.2-9)",,,0.7-2,GPL (≥ 3),
samr,SAM: Significance Analysis of Microarrays,Significance Analysis of Microarrays,"impute, matrixStats",,,,2.0,LGPL-2 | LGPL-2.1 | LGPL-3 [expanded from: LGPL],
SAMURAI,Sensitivity Analysis of a Meta-analysis with Unpublished but Registered Analytical Investigations,This package contains R functions to gauge the impact of unpublished studies upon the meta-analytic summary effect of a set of published studies. (Credits: The research leading to these results has received funding from the European Union's Seventh Framework Programme (FP7/2007-2013) under grant agreement no. 282574.),"R (≥ 3.0.0), metafor",,,MetaAnalysis,1.2.1,GPL-2 | GPL-3,
sand,Statistical Analysis of Network Data with R,Data sets for the book 'Statistical Analysis of Network Data with R'.,"igraph, igraphdata","GO.db, GOstats, ROCR, ape, car, eigenmodel, ergm, fdrtool, ggplot2, huge, kernlab, lattice, mixer, network, networkDynamic, networkTomography, ngspatial, org.Sc.sgd.db, sna, vioplot",,,1.0.2,GPL-3,
sandwich,Robust Covariance Matrix Estimators,"Model-robust standard error estimators for cross-sectional, time series, and longitudinal data.",R (≥ 2.0.0),"car, lmtest, strucchange, AER, survival, MASS, scatterplot3d","stats, zoo","Econometrics, Finance, Robust, SocialSciences",2.3-0,GPL-2,
sanon,Stratified Analysis with Nonparametric covariable adjustment,This package has several functions to implement the method for analysis in a randomized clinical trial with strata with following key features. A stratified Mann-Whitney estimator addresses the comparison between two randomized groups for a strictly ordinal response variable. The multivariate vector of such stratified Mann-Whitney estimators for multivariate response variables can be considered for one or more response variables such as in repeated measurements and these can have missing completely at random (MCAR) data. Non-parametric covariance adjustment is also considered with the minimal assumption of randomization. The p-value for hypothesis test and confidence interval are provided.,,,,,1.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sapa,Spectral Analysis for Physical Applications,"Software for the book Spectral Analysis for Physical Applications, Donald B. Percival and Andrew T. Walden, Cambridge University Press, 1993.","R (≥ 3.0.2), ifultools (≥ 2.0-0), splus2R (≥ 1.2-0)",,,ChemPhys,2.0-0,GPL-2,
SAPP,Statistical Analysis of Point Processes,Functions for statistical analysis of point processes.,"R (≥ 2.14.0), graphics",,,,1.0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sas7bdat,SAS Database Reader (experimental),Read SAS files in the sas7bdat data format.,"R (≥ 2.10), chron",,,,0.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SAScii,Import ASCII files directly into R using only a SAS input script,"Using any importation code designed for SAS users to read ASCII files into sas7bdat files, the SAScii package parses through the INPUT block of a (.sas) syntax file to design the parameters needed for a read.fwf function call.  This allows the user to specify the location of the ASCII (often a .dat) file and the location of the .sas syntax file, and then load the data frame directly into R in just one step.",R (≥ 2.14),,,OfficialStatistics,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SASmixed,"Data sets from ""SAS System for Mixed Models""","Data sets and sample lmer analyses corresponding to the examples in Littell, Milliken, Stroup and Wolfinger (1996), ""SAS System for Mixed Models"", SAS Institute.",R (≥ 2.14.0),"lme4, lattice",,,1.0-4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SASPECT,Significant AnalysiS of PEptide CounTs,A statistical method for significant analysis of comparative proteomics based on LC-MS/MS Experiments,,,,,0.1-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SASxport,Read and Write SAS XPORT Files,"This package provides functions for reading, listing the contents of, and writing SAS xport format files. The functions support reading and writing of either individual data frames or sets of data frames.  Further, a mechanism has been provided for customizing how variables of different data types are stored.","R (≥ 2.4.0), chron",,,,1.3.6,GPL-2,
SAVE,"Bayesian emulation, calibration and validation of computer models","Implements Bayesian statistical methodology for the analysis of complex computer models. It allows for the emulation, calibration, and validation of computer models, following methodology described in Bayarri et al 2007, Technometrics.",,MASS,"coda, DiceKriging, methods",,0.9.3.8.4,GPL-2 | GPL-3,
saves,Fast load variables,"The purpose of this package is to be able to save and load only the needed variables/columns of a dataframe in special binary files (tar archives) - which seems to be a lot faster method than loading the whole binary object (RData files) via load() function, or than loading columns from SQLite/MySQL databases via SQL commands (see vignettes). Performance gain on SSD drives is a lot more sensible compared to basic load() function. The performance improvement gained by loading only the chosen variables in binary format can be useful in some special cases (e.g. where merging data tables is not an option and very different datasets are needed for reporting), but be sure if using this package that you really need this, as non-standard file formats are used!",,,,,0.5,AGPL-3,
saws,Small-Sample Adjustments for Wald tests Using Sandwich Estimators,"Tests coefficients with sandwich estimator of variance and with small samples. Regression types supported are gee, linear regression, and conditional logistic regression.","R (≥ 2.6.0), gee, stats",MASS,,Survival,0.9-6.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sBF,Smooth Backfitting,Smooth Backfitting for additive models using Nadaraya-Watson estimator,,,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sbgcop,Semiparametric Bayesian Gaussian copula estimation and imputation,"This package estimates parameters of a Gaussian copula, treating the univariate marginal distributions as nuisance parameters as described in Hoff(2007). It also provides a semiparametric imputation procedure for missing multivariate data.",,,,Bayesian,0.975,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
sbioPN,sbioPN: Simulation of deterministic and stochastic spatial biochemical reaction networks using Petri Nets," sbioPN is a package suited to perform simulation of deterministic and stochastic systems of biochemical reaction networks with spatial effects. Models are defined using a subset of Petri Nets, in a way that is close at how chemical reactions are defined. For deterministic solutions, sbioPN creates the associated system of differential equations ""on the fly"", and solves it with a Runge Kutta Dormand Prince 45 explicit algorithm. For stochastic solutions, sbioPN offers two variants of Gillespie algorithm, or SSA. For hybrid deterministic/stochastic, it employs the Haseltine and Rawlings algorithm, that partitions the system in fast and slow reactions. sbioPN algorithms are developed in C to achieve adequate performance.",,,,,1.1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SBSA,Simplified Bayesian Sensitivity Analysis,Simplified Bayesian Sensitivity Analysis,R (≥ 3.0.2),"MASS, xtable",Rcpp (≥ 0.8.6),,0.2.3,GPL (≥ 3),
sca,Simple Component Analysis,Simple Component Analysis (SCA) often provides much more interpretable components than Principal Components (PCA) while still representing much of the variability in the data.,stats,MASS,,Multivariate,0.8-9,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scagnostics,Compute scagnostics - scatterplot diagnostics,"Calculates graph theoretic scagnostics. Scagnostics describe various measures of interest for pairs of variables, based on their appearance on a scatterplot.  They are useful tool for discovering interesting or unusual scatterplots from a scatterplot matrix, without having to look at every individual plot.",rJava,,,Graphics,0.2-4,file LICENSE,
scaleboot,Approximately Unbiased P-values via Multiscale Bootstrap,Calculating approximately unbiased (AU) p-values from multiscale bootstrap probabilities.,R (≥ 2.0.0),"pvclust (≥ 1.2.0), snow",,"HighPerformanceComputing, Phylogenetics",0.3-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scales,Scale functions for graphics,"Scales map data to aesthetics, and provide methods for automatically determining breaks and labels for axes and legends.",R (≥ 2.13),testthat (≥ 0.8),"RColorBrewer, dichromat, munsell (≥ 0.2), plyr (≥ 1.2), labeling, methods",,0.2.4,MIT + file LICENSE,
scalreg,Scaled sparse linear regression,Algorithms for fitting scaled sparse linear regression and estimating precision matrices,"R (≥ 2.10), lars, MASS",,,,1.0,GPL-2,
scam,Shape constrained additive models,"Routines for generalized additive modelling under shape constraints on the component functions of the linear predictor. Models can contain multiple shape constrained (univariate and/or bivariate) and unconstrained terms. The routines of mgcv(gam) package are used for setting up the model matrix, printing and plotting the results.  Penalized likelihood maximization based on Newton-Raphson method is used to fit a model with multiple smoothing parameter selection by GCV or UBRE/AIC.","R (≥ 2.15.0), mgcv (≥ 1.7-27), stats, graphics","nlme, splines","methods, Matrix",,1.1-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scape,Statistical Catch-at-Age Plotting Environment,"Import, plot, and diagnose results from statistical catch-at-age models, used in fisheries stock assessment.",R (≥ 2.10),gdata,"coda, Hmisc, lattice",,2.2-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scar,Shape-Constrained Additive Regression: a Maximum Likelihood Approach,"This package computes the maximum likelihood estimator of the generalised additive and index regression with shape constraints. Each additive component function is assumed to obey one of the nine possible shape restrictions: linear, increasing, decreasing, convex, convex increasing, convex decreasing, concave, concave increasing, or concave decreasing.",R (≥ 2.10.0),,,,0.2-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scaRabee,Optimization Toolkit for Pharmacokinetic-Pharmacodynamic Models,"scaRabee is a port of the Scarabee toolkit originally written as a Matlab-based application. It provides a framework for simulation and optimization of pharmacokinetic-pharmacodynamic models at the individual and population level. It is built on top of the neldermead package, which provides the direct search algorithm proposed by Nelder and Mead for model optimization.","neldermead (≥ 1.0-8), lattice, grid, deSolve, utils",,,DifferentialEquations,1.1-3,GPL-3,
scatterplot3d,3D Scatter Plot,Plots a three dimensional (3D) point cloud.,R (≥ 2.7.0),,,"Graphics, Multivariate",0.3-35,GPL-2,
SCBmeanfd,Simultaneous Confidence Bands for the Mean of Functional Data,"This package implements statistical methods for estimating and inferring the mean of functional data. The methods are based on simultaneous confidence bands and local polynomial fitting. They feature: bandwidth selection by plug-in and cross-validation, goodness-of-fit tests for parametric models, equality tests for two-sample problems, and plotting functions.","R (≥ 2.10), stats, graphics",,"boot, KernSmooth",,1.1,GPL-3,
SCEPtER,Stellar CharactEristics Pisa Estimation gRid,"A package to estimate stellar mass and radius given observational data of effective temperature, [Fe/H], and astroseismic parameters. The results are obtained adopting a maximum likelihood technique over a grid of computed stellar models.","R (≥ 2.10), MASS",lattice,,ChemPhys,0.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SCEPtERextras,Additional grids for SCEPtER,Grid of stellar models computed with various initial helium abundances and different mixing-length values.,R (≥ 2.10),,,ChemPhys,0.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SCGLR,Supervised Component Generalized Linear Regression (SCGLR),SCGLR extends the Fisher Scoring Algorithm so as to combine PLS regression with GLM estimation in the multivariate context.,R (≥ 3.0.0),parallel,"Matrix, Formula, expm, graphics, ggplot2, grid, stringr, ROCR",,1.2,CeCILL-2 | GPL-2,
scholar,Analyse citation data from Google Scholar,scholar provides functions to extract citation data from Google Scholar.  Convenience functions are also provided for comparing multiple scholars and predicting future h-index values.,R (≥ 2.15.1),roxygen2,"stringr, plyr, R.cache, XML",WebTechnologies,0.1.1,MIT + file LICENSE,
schoolmath,Functions and datasets for math used in school,This package contains functions and datasets for math taught in school. A main focus is set to prime-calculation,R (≥ 2.10),,,,0.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
schoRsch,Tools for analyzing factorial experiments,"The package offers a helping hand to psychologists and other behavioral scientists who routinely deal with experimental data from factorial experiments. It includes several functions to format output from other R functions according to the style guidelines of the APA (American Psychological Association). This formatted output can be copied directly into manuscripts to facilitate data reporting. These features are backed up by a toolkit of several small helper functions, e.g., offering out-of-the-box outlier removal. The package lends its name to Georg ""Schorsch"" Schuessler, ingenious technician at the Department of Psychology III, University of Wuerzburg.",,,,,1.0,GPL-2 | GPL-3 [expanded from: GPL],
schwartz97,A package on the Schwartz two-factor commodity model,"This package provides detailed functionality for working with the Schwartz 1997 two-factor commodity model. Essentially, it contains pricing formulas for futures and European options and the standard d/p/q/r functions for the distribution of the state variables and futures prices. In addition, a parameter estimation procedure is contained together with many utilities as filtering and plotting functionality. This package is accompanied by futures data of ten commodities.","R (≥ 2.10), FKF (≥ 0.1.0), mvtnorm, methods, RUnit",,,,0.0.6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
SCI,"Standardized Climate Indices such as SPI, SRI or SPEI",Functions for generating Standardized Climate Indices (SCI). SCI is a transformation of (smoothed) climate (or environmental) time series that  removes seasonality and forces the data to take values of the standard normal distribution. SCI was originally developed for precipitation. In this case it is known as the Standardized Precipitation Index (SPI).,"fitdistrplus, lmomco",evd,,,1.0-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
scidb,An R interface to SciDB,SciDB is an open-source array database (http://scidb.org). The scidb package provides an R interface to SciDB.,"R (≥ 3.0.0), methods",,"Matrix, utils, stats, iterators, RCurl, zoo, graphics",,1.1-2,AGPL-3,
SciencesPo,Tools for analyzing political behaviour data,SciencesPo is a facility package for the political science crowd. It provides well-founded functions for analyzing random and nonrandom data. Future updates will focus on innovative techniques published in relevant journals of the field.,"R (≥ 3.0), stats, utils, graphics, grDevices, data.table, maptools","Zelig, xtable, foreign, MCMCpack",,,0.03.21,"LGPL-2 | LGPL-2.1 [expanded from: LGPL (≥ 2.0, < 3)]",
scio,Sparse Column-wise Inverse Operator,Sparse Column-wise Inverse Operator for estimating the inverse covariance matrix.  Note that this is a preliminary version accompanying the arXiv paper (arXiv:1203.3896) in 2012.   This version contains only the minimal set of functions for estimation and cross validation.,,"clime, lorec, QUIC",,,0.6.1,GPL-2,
